#1;0;0;0;0
"#Heat demand profiles as used in the project IntegraNet (GWI/UMSICHT). Calculated based on different sources. For details see:  Gemeinsamer Abschlussbericht des Forschungsvorhabens IntegraNet: ""Integrierte Betrachtung von Strom-, Gas- und Wärmesystemen zur modellbasierten Optimierung des Energieausgleichs- und Transportbedarfs innerhalb der deutschen Energienetze"", Benthin et al. (2020)";;;;
#;6WE_17;6WE_3;6WE_23;6WE_4
double default(8761,5);;;;
0;0;0;0;0
3600;8775.077332;8647.771423;8635.811951;8890.440979
7200;8708.644165;8502.415039;8274.240173;8228.105286
10800;13288.55023;13200.19666;13226.10455;12849.54248
14400;13526.41449;13519.55505;12861.36041;13038.10889
18000;5365.575684;5375.601563;3073.748047;5710.047363
21600;8973.327148;8804.511719;8060.337891;8657.201172
25200;10411.71289;10822.73633;11014.56348;10722.03125
28800;13269.56348;12237.34082;13395.55176;12526.47168
32400;11009.5498;12231.82031;12423.51465;11787.3916
36000;16522.72266;16268.80566;18865.03125;20549.81445
39600;17371.32422;16797.39258;19167.35742;18487.19141
43200;20158.70313;20703.04492;19314.83594;21314.55078
46800;17415.21875;20633.91992;17049.67383;16556.28711
50400;17819.94922;17656.9375;18052.76758;16321.24023
54000;16400.3457;16007.43164;15750.38574;14698.02051
57600;17597.3418;17438.73047;18009.2832;17022.33203
61200;16431.31641;16382.58887;14094.57129;14838.85156
64800;16727.51953;17179.61719;15921.1582;16479.0332
68400;17102.6582;17461.19531;19187.87695;19149.5957
72000;19215.66406;19716.08398;20592.50781;22304.21875
75600;16351.16211;17426.97461;17537.71484;17372.14063
79200;18123.82227;21850.70508;19767.30859;17462.52734
82800;15290;17848.32617;16768.66602;15098.60059
86400;18024.33594;18106.57813;18111.27344;15783.69922
90000;20477.00195;17465.97461;17347.22461;17774.64063
93600;18063.62695;19561.53711;18234.7207;18451.90039
97200;14503.13574;16306.23535;14018.41211;11931.22754
100800;13000.06543;12734.34668;13140.66211;15253.80762
104400;14869.37109;11355.07227;6125.87793;11780.09473
108000;17356.91211;16123.24414;15732.69141;16122.39844
111600;17305.71094;17496.83203;17667.42969;17320.32617
115200;20014.17383;18195.43164;19666.55664;18918.51758
118800;18155.12695;18152.86523;17765.52539;17726.01367
122400;22947.28711;22068.75586;24898.91797;26521.29492
126000;22581.73438;23822.53906;24638.54688;23710.16406
129600;25165.99023;26470.01367;24651.13672;26303.67773
133200;22190.89258;26554.13477;22826.57031;20718.78711
136800;23345.52148;21136.79883;23364.18359;22676.39453
140400;21722.43359;21443.35156;21112.93945;20423.55273
144000;22842.80078;22498.01172;22761.19141;21780.04883
147600;20179.27539;19167.9375;18661.31445;18580.2168
151200;20722.14844;20610.28516;20213.03711;20214.31836
154800;20542.32031;20823.68164;22283.19727;23266.78711
158400;22173.90234;22715.18555;22867.63086;25239.43945
162000;20948.81055;20757.67773;20646.64063;20591.94531
165600;23729.33203;25343.34766;22491.75;21867.37695
169200;19794.12695;19340.66992;17762.94922;20336.79688
172800;19847.68945;19337.02148;17260.64453;17036.53516
176400;19427.11523;18752.20508;18989.79883;16842.9707
180000;16779.74609;20267.08203;20854.07422;19008.88086
183600;13832.91016;15778.06152;16322.59863;10583.22949
187200;12736.21777;12708.6709;14814.50781;14184.05469
190800;15145.53809;11399.93066;6416.244629;12170.94336
194400;17619.00781;16977.15039;16450.07031;16501.57227
198000;17452.55078;17986.05664;18070.08594;17815.36133
201600;19793.63672;19097.75781;19805.13672;18720.38477
205200;18093.40039;18659.53711;18620.11133;17055.29883
208800;22950.12695;22575.04688;25314.22656;27574.22656
212400;23240.22656;22849.69531;25245.99219;23775.75391
216000;24089.72266;26573.34766;23596.48633;27181.55469
219600;20580.36719;25460.96094;23331.25;22754.76172
223200;22645.28125;23216.93945;23543.93945;23633.86719
226800;21418.86523;22252.23828;20133.92383;21480.39648
230400;22537.2168;22437.33789;22460.33398;23039.39648
234000;20491.41016;21473.38086;18136.11914;20137.74609
237600;20725.9707;21732.29688;20568.19141;21374.98633
241200;21247.60156;21548.51563;23008.98047;23575.24414
244800;22757.75586;21983.72461;22736.36523;25608.47656
248400;20544.09375;20958.86328;21413.66992;20134.34375
252000;23608.35547;25843.12109;23120.76172;21987.35547
255600;20541.63086;20186.76367;20102.27734;20449.12109
259200;19218.1875;21106.91797;20174.16406;19545.39648
262800;21619.29492;20737.46875;22263.4375;21055.9668
266400;20525.36914;23811.17969;22399.75781;21500.42383
270000;18930.39648;20232.16602;19092.06445;15329.70996
273600;17743.71289;16023.29688;17795.89648;18421.61133
277200;17714.39063;13686.19043;7540.35791;14198.53418
280800;21120.47266;20599.96289;19920.03125;20225.30078
284400;21506.9082;22068.06055;22126.3125;21736.99219
288000;25084.77734;23337.08789;24907.55078;23453.89258
291600;22620.92188;23187.32617;23542.70313;23133.28516
295200;28604.86133;27761.99414;31510.11719;33642.96094
298800;27395.13086;29843.84961;30841.4375;30092.83398
302400;31667.65234;32200.39648;30438.29688;33462.41797
306000;28476.31641;30907.98828;28470.31641;27717.53125
309600;29282.41797;28018.04883;28392.13672;29294.7168
313200;26028.82617;26845.73047;24279.67578;25459.82227
316800;24045.01758;25319.75977;26584.06836;25225.06445
320400;21678.52344;21764.14844;19664.41211;21058.0332
324000;20672.33203;20827.69336;19576.81641;20220.89648
327600;19479.80664;19907.03711;21441.06055;21692.44922
331200;21502.48828;22496.21875;22699.99023;24906.96875
334800;21929.29492;22001.58984;20914.35938;21727.84766
338400;24873.58008;27882.63477;23846.16797;24138.52148
342000;21801.94727;23278.95117;22087.41211;22983.67383
345600;22874.45508;23346.69922;21820.40234;21453.47266
349200;25179.83203;23602.40625;23065.51953;23701.05664
352800;23460.14844;25592.11719;24417.77734;22343.91016
356400;21232.62109;20488.57031;20859.05664;14594.59961
360000;19730.07031;18078.66992;19390.31055;20308.00977
363600;19566.59961;14982.89453;8110.330078;15683.04883
367200;22981.26172;22142.32031;21295.80469;21743.07227
370800;23540.84766;23548.06445;23477.57617;23260.7168
374400;26468.04492;24614.36914;25750.70703;25074.2793
378000;24528.03711;24390.71289;24469.01758;24136.27148
381600;30261.26758;29217.23242;33107.05859;35542.92578
385200;28969;29122.15039;32137.16211;32223.40039
388800;32957.73828;34431.04688;30717.05273;34315.37891
392400;30722.66016;34407.10156;29370.88086;28471.69531
396000;31269.06836;30151.37891;31494.01563;31727.81055
399600;28391.94336;28555.20703;27426.27539;27997.92578
