#1;0;0;0;0
"#Heat demand profiles as used in the project IntegraNet (GWI/UMSICHT). Calculated based on different sources. For details see:  Gemeinsamer Abschlussbericht des Forschungsvorhabens IntegraNet: ""Integrierte Betrachtung von Strom-, Gas- und Wärmesystemen zur modellbasierten Optimierung des Energieausgleichs- und Transportbedarfs innerhalb der deutschen Energienetze"", Benthin et al. (2020)";;;;
#;6WE_5;6WE_30;6WE_25;6WE_31
double default(8761,5);;;;
345600;21005.19531;21553.91992;21145.32813;24058.92773
349200;23512.26758;22955.47852;22985.56445;25277.01758
352800;25080.16602;22454.50195;25533.45313;25260.17383
356400;19945.76563;18461.17969;21402.5918;21688.19727
360000;18809.18945;16320.51465;20340.67578;20127.07031
363600;14672.10059;22006.99023;19521.07031;15110.02148
367200;22142.9043;21634.86133;23453.28711;22833.62695
370800;23326.25391;23031.45313;24848.54688;24108.61914
374400;25752.97461;23965.24805;24685.06445;25280.23047
378000;25731.98828;24740.98047;24844.34375;24168.11328
381600;32335.91797;27500.9707;29240.9375;31115.31641
385200;28749.43164;30963.73047;30747.13281;31921.99414
388800;29482.35156;30405.81445;27428.64453;30396.87109
392400;25431.06641;29029.36914;29426.59375;29940.08984
396000;30561.97461;30730.43359;29755.97266;30179.04883
399600;30124.12305;29591.51953;27407.52734;27965.80664
403200;28097.73438;26608.95898;26553.5957;28370.41016
406800;24064.42773;23858.41602;22412.64453;24281.42188
410400;23503.94922;23666.48047;21658.67383;24727.93945
414000;21105.32617;22821.53906;19913.19727;24481.39844
417600;23798.90234;25715.1875;23512.81836;26171.34766
421200;23606.27344;24229.69336;23344.20898;24690.10938
424800;27653.42188;21969.2207;25501.79688;26470.7207
428400;24431.83008;22174.41992;24383.10156;24115.92773
432000;22668.0625;19400.37305;22120.76172;24047.93555
435600;24765.51953;23151.00195;23204.20898;26151.91992
439200;27219.0332;24425.58203;24464.90234;26263.125
442800;20983.20898;22037.05664;20703.26563;22833.45117
446400;18788.54492;18405.39063;20320.21484;20362.39063
450000;14667.06055;22930.17969;19255.01758;15248.05273
453600;21930.5293;23240.45117;22940.66797;23180.14648
457200;23177.83984;23715.47852;24653.12891;24404.08984
460800;26127.5293;23851.13281;24090.87109;25179.0625
464400;25625.24023;25468.30469;24498.90234;24607.52539
468000;31560.50195;27384.74805;29715.01758;30678.9043
471600;29756.50391;31257.89258;31747.39063;33115.32813
475200;31073.06055;31423.66797;25611.62695;31601.1543
478800;27392.74805;27780.20898;25588.97461;28914.4707
482400;27049.67969;26343.33398;25542.14453;27880.93359
486000;24938.73047;17542.6582;24880.57031;25902.38477
489600;24494.26367;20627.96484;23499.2168;26314.82617
493200;24573.31445;24145.22266;22736.80469;24547.77539
496800;23064.40625;24941.87305;20839.55273;25666.4707
500400;24450.99219;24281.41016;25450.75391;25871.58203
504000;27549.66797;28252.11523;26707.10352;28930.10547
507600;26501.87695;26087.91602;24807.50391;27081.16797
511200;27150.2793;25317.19336;25541.57422;25847.72656
514800;24346.43945;25270.31055;26819.01563;24114.24414
518400;23141.45313;20909.35156;22904.93945;24995.50586
522000;24863.80273;23720.92188;25639.79688;26218.35742
525600;27649.88281;25135.87109;26681.05469;27343.17188
529200;21594.42383;22428.64258;22834.67969;21952.02734
532800;20021.48047;19748.64844;21607.47461;20598.77344
536400;14707.64746;23729.61914;19674.01367;15028.79102
540000;21877.42969;22799.33789;23728.63281;22410.93555
543600;23397.85938;23300.51367;24983.49414;24005.78711
547200;24547.42188;23167.91016;23816.80469;24404.52344
550800;24701.42383;24648.29883;24684.11914;23977.56445
554400;30586.31445;26816.02148;29195.58398;29810.89453
558000;28778.22266;30507.41992;30661.06445;31505.30469
