#1;0;0;0;0
"#Heat demand profiles as used in the project IntegraNet (GWI/UMSICHT). Calculated based on different sources. For details see:  Gemeinsamer Abschlussbericht des Forschungsvorhabens IntegraNet: ""Integrierte Betrachtung von Strom-, Gas- und Wärmesystemen zur modellbasierten Optimierung des Energieausgleichs- und Transportbedarfs innerhalb der deutschen Energienetze"", Benthin et al. (2020)";;;;
#;6WE_13;6WE_12;6WE_28;6WE_2
double default(8761,5);;;;
0;0;0;0;0
3600;9137.682129;8871.740356;9394.65863;8771.725403
7200;8873.462341;8597.011108;8782.536011;8419.859375
10800;13156.41925;13315.33667;12936.10645;13190.18604
14400;13378.44952;13546.31812;12731.60156;13043.71826
18000;5273.998535;4886.486328;5810.708496;4614.744629
21600;8947.933594;8419.847656;8370.208984;8269.415039
25200;11310.8252;10624.67383;10847.44727;10729.60449
28800;12596.74121;12696.75293;12201.48633;13006.01758
32400;11530.68457;11487.52637;12073.17871;11779.22852
36000;16283.91895;16784.23438;18112.16406;17539.41797
39600;18085.74609;18989.88672;18228.07813;18198.125
43200;20516.4082;20302.69141;20839.65625;19972.74805
46800;18138.20117;17023.23633;18053.58789;18233.09961
50400;17651.88867;16162.01172;17657.29297;18653.03906
54000;16200.39258;16305.35254;15513.66797;16895.14063
57600;16581.57031;18416.05273;16966.9082;17776.83789
61200;13758.01465;15156.18359;14790.9834;16072.12598
64800;15362.3418;15653.28809;15348.70508;17268.57617
68400;17313.60352;18622.03906;18356.61914;17498.39453
72000;21415.77539;21521.00977;20231.49414;20494.99414
75600;18243.76758;17872.46094;17073.3457;17588.18164
79200;19424.43945;18950.44922;18990.8418;19943.72461
82800;18305.17773;16833.21484;17751.58008;15966.23438
86400;18118.38086;16846.22461;17316.19531;17465.27734
90000;17630.34961;17552.03711;19435.33398;19119.94531
93600;18040.70117;18315.41406;19147.26758;18794.88477
97200;15179.26172;14922.37891;14663.29199;11707.37793
100800;14817.93555;13538.28906;11864.90332;9671.307617
104400;11172.56055;10801.73633;11807.88965;12098.05078
108000;16874.98438;16454.33008;15763.82129;16141.24902
111600;17882.89453;17309.48047;17074.86133;17204.77148
115200;18342.79297;18848.55469;18502.46484;18661.85547
118800;17885.85742;17175.48242;16587.20898;17959.48438
122400;21902.92188;22730.16211;24003.36133;23698.79102
126000;23367.32031;24262.46094;23543.21875;23992.64844
129600;26073.93359;25184.97461;26107.54102;26114.06055
133200;23210.94141;21300.35352;23951.88281;23491.23438
136800;22567.49609;23047.26953;22656.3418;24474.16602
140400;19935.83984;21181.24609;20412.22656;21658.1582
144000;21886.30273;22592.54102;20792.51367;22504.23633
147600;19318.89063;19627.58203;18478.50977;19604.95117
151200;20749.96289;20209.84375;20113.43164;20382.38672
154800;21082.62109;21094.25977;22212.72656;20883.07031
158400;24482.63477;24116.79297;24450.67773;22859.44727
162000;21543.30078;21067.31836;20669.98828;20372.02344
165600;23006.37891;22120.23438;22482.76758;23321.88086
169200;19043.39648;20024.16992;19960.93164;19524.82031
172800;17716.05469;17272.43164;17155.3457;19488.8125
176400;18574.79883;19584.50586;17366.81641;19137.35547
180000;19651.35547;19398.08984;18688.25977;18220.96875
183600;15204.0293;14726.55371;13928.01758;12908.88477
187200;15237.19043;13259.07422;13923.72168;12016.77441
190800;11200.29102;11045.91309;12209.09473;12022.27344
194400;17389.70117;16392.82031;16295.31348;16530.88281
198000;18303.09766;17796.48242;17603.80273;17389.75195
201600;18830.34375;18934.23828;18434.4668;19504.99609
205200;18503.85742;17819.29492;18307.56445;18609.00391
208800;22505.45703;23297.54688;24782.92188;23577.16211
212400;23847.06836;24542.70313;23930.08984;24182.42773
216000;25995.35742;25741.125;26189.24414;26385.18164
219600;24252.74609;23273.87891;24526.8418;24185.81641
223200;23455.94531;23864.58008;22482.12695;24414.33398
226800;21621.85547;21819.06641;20325.32422;21906.44141
230400;22277.10742;22947.94141;21788.10742;23176.04883
234000;20170.15625;20774.75586;19093.88477;20542.10938
237600;20761.56445;21249.20508;20372.87109;21271.32422
241200;20769.99609;22315.12305;21640.85547;21528.87695
244800;24666.94922;24497.51758;23473.94141;21549.71094
248400;21634.94336;21285.66406;20266.92383;19234.75781
252000;23038.13477;22337.94531;22979.28516;23378.82813
255600;20138.40234;20710.37891;21261.58984;20545.41016
259200;20963.53516;20503.48047;21424.46289;16505.91602
262800;20700.43945;22563.81445;21285.65625;21306.83008
266400;21486.875;21951.53125;21255.15039;23010.78711
270000;18812.28516;18791.5;18519.56836;16874.03125
273600;18516.94922;17283.87695;16433.09961;16075.31934
277200;13281.9707;12840.28809;14383.98828;15059.13379
280800;20997.51563;20390.72852;19713.00781;20206.10938
284400;22385.9668;21639.58398;20526.27734;21948.17773
288000;23677.69531;23678.13477;22913.60938;24698.50391
291600;22909.05273;22356.13477;22881.96094;23441.09961
295200;27576.46875;29305.59766;30431.99023;29858.63086
298800;29283.46289;30892.3457;29882.44531;29189.06445
302400;32341.84375;32321.14453;32465.30078;32156.46484
306000;30452.27734;28181.82422;30492.96094;30131.60742
309600;27839.47266;30282.75781;29097.51172;30740.03711
313200;25624.55078;27168.37695;26202.96875;26765.0918
316800;25923.33203;26534.89453;25666.35938;26535.69727
320400;20342.44336;22105.41016;20041.20703;21796.24023
324000;20609.47266;21262.76953;18978.51758;21234.56836
327600;20033.98047;21737.00586;19157.17773;19329.00781
331200;24284.99805;24255.24414;21788.51172;22557.44531
334800;22611.85352;22038.59375;19691.37891;21600.83594
338400;25528.3457;24689.79102;25002.96289;25816.24609
342000;23757.68555;23327.95703;21595.88477;22822.87305
345600;22095.03516;23082.74414;22208.29297;22408.19141
349200;23975.69531;25306.09961;24720.36914;24866.24023
352800;24038.97852;23797.96289;24159.27344;24636.94141
356400;19475.71094;20120.01172;16851.30664;19248.0625
360000;19789.99609;18846.04492;17557.13477;17931.89258
363600;14497.04492;14367.58984;15783.14746;15610.3125
367200;22423.98242;21761.55273;21568.07617;21940.82422
370800;23806.37305;23327.26758;23222.03125;23300.11133
374400;24652.58984;25081.7793;24404.57813;25465.25977
378000;24281.60352;23366.43945;24330.24023;24602.73242
381600;29097.80469;30473.84766;32102.80664;31167.72266
385200;30781.81641;32069.20313;33462.3125;29917.69727
388800;34190.39844;33370.49219;32379.47852;33334.98047
392400;31846.45117;29447.25;30080.45313;31655.60938
396000;30925.81641;31748.19727;30059.47461;32336.03125
399600;27806.61328;28923.22656;27539.94922;28406.18945
