#1;0;0;0;0;0;0;0;0
"#Heat demand profiles as used in the project IntegraNet (GWI/UMSICHT). Calculated based on different sources. For details see:  Gemeinsamer Abschlussbericht des Forschungsvorhabens IntegraNet: ""Integrierte Betrachtung von Strom-, Gas- und Wärmesystemen zur modellbasierten Optimierung des Energieausgleichs- und Transportbedarfs innerhalb der deutschen Energienetze"", Benthin et al. (2020)";0;0;0;0;0;0;0;0
#;6WE_27;6WE_24;6WE_19;6WE_1;6WE_29;6WE_15;6WE_11;6WE_10
double default(8761,9);;;;;;;;
0;0;0;0;0;0;0;0;0
3600;783.0399704;556.2268562;543.7197495;8211.656677;452.9609566;400.388504;8466.481628;8435.719788
7200;867.1272583;914.5046234;872.5936737;7862.683533;633.3071365;580.536747;8662.938232;8004.492126
10800;1953.041977;1756.007957;1543.095505;12949.00891;1591.469032;1777.498489;12656.84631;13132.70135
14400;1855.416;2191.581322;1849.223801;12665.54211;1741.402748;1862.374222;12911.53381;12342.37128
18000;670.2718506;0;1323.16394;9826.823242;0;343.2709961;6667.93457;7139.214355
21600;1021.3302;0;1519.744751;11198.00391;0;469.187439;9762.352539;9513.478516
25200;2195.892578;196.36586;1804.31604;12278.30371;0;1029.204346;12019.05566;10185.66016
28800;1769.896362;1083.145752;1818.591431;13668.00879;1352.906982;1271.571411;13056.05371;13301.44629
32400;1418.043701;1245.42395;1944.135986;13307.75293;1595.130249;1122.859741;14236.21875;13172.83203
36000;3909.236328;4645.932617;4768.786133;15457.46875;3464.81665;4297.583984;16752.32031;16536.33984
39600;4610.370605;5667.888672;4261.060547;12058.18555;5870.043945;2971.012451;18459.77344;14283.5
43200;7963.201172;7276.891602;5526.556641;17379.45313;3190.751953;5351.253418;17130.7207;18446.70313
46800;6395.944336;4187.375977;3596.36084;15703.55762;2322.774658;3790.641357;16571.6543;17104.94141
50400;3460.206299;2048.609619;2493.440186;16464.15234;2726.051758;2823.96167;16336.62402;16938.68359
54000;1092.671021;2119.266602;2576.388916;15382.80176;1917.418335;1791.58252;14004.79102;16115.69629
57600;2337.327637;2126.069824;2985.121338;15895.06836;2090.764893;2317.335693;15306.64258;17675.96289
61200;753.4332886;2098.890625;2117.487793;14380.23438;1774.63623;1982.571411;13750.86914;15551.15918
64800;2016.189819;1492.712402;2386.383057;15634.44336;1843.092896;2696.526611;14945.0332;16549.23242
68400;2185.084229;3243.676025;3824.300537;15167.64258;4296.314453;1989.504395;18240.7168;17020.3418
72000;5956.175293;4744.622559;5843.062012;19755.89844;2345.376221;3660.198486;18529.49023;19509.52344
75600;1905.180298;2663.704102;1766.092651;16389.85156;1229.586548;2993.357666;17248.05859;17123.23828
