#1;0;0;0;0;0;0;0;0
"#Heat demand profiles as used in the project IntegraNet (GWI/UMSICHT). Calculated based on different sources. For details see:  Gemeinsamer Abschlussbericht des Forschungsvorhabens IntegraNet: ""Integrierte Betrachtung von Strom-, Gas- und Wärmesystemen zur modellbasierten Optimierung des Energieausgleichs- und Transportbedarfs innerhalb der deutschen Energienetze"", Benthin et al. (2020)";;;;;;;;
#;6WE_26;6WE_14;6WE_32;6WE_8;6WE_9;6WE_16;6WE_20;6WE_18
double default(8761,9);;;;;;;;
180000;1968.257935;1153.52124;1693.371216;20854.07422;19008.88086;598.857666;1332.441284;1722.894531
183600;614.8188477;359.9740601;110.3181076;16322.59863;10583.22949;766.8546753;795.7016602;1695.526489
187200;0;272.5668335;326.414093;14814.50781;14184.05469;921.2647705;2964.403809;751.154541
190800;782.8746948;1110.097046;922.1462402;6416.244629;12170.94336;1341.818726;2951.156738;1965.901978
194400;856.7860718;1238.687378;985.3411865;16450.07031;16501.57227;2434.341797;2742.63208;2143.466064
198000;2539.743164;2561.907227;2240.612549;18070.08594;17815.36133;2435.81958;2797.634521;2916.108398
201600;3842.110107;2534.463379;1909.314331;19805.13672;18720.38477;3097.584961;3717.244629;3293.048828
205200;2444.499756;2049.917969;2376.592773;18620.11133;17055.29883;2671.359863;3088.004639;4214.465332
208800;8022.256836;7793.608398;5602.04834;25314.22656;27574.22656;4853.473633;5163.737305;6279.375977
212400;7299.112305;5346.826172;5337.010254;25245.99219;23775.75391;3843.550293;1638.299316;6137.919434
216000;5221.35791;8182.194824;6262.827148;23596.48633;27181.55469;7145.783691;4453.621094;4478.450684
219600;4316.499023;3779.495605;4930.488281;23331.25;22754.76172;5745.10498;2692.196045;3587.703369
223200;4834.242188;4784.020508;2985.138672;23543.93945;23633.86719;4141.795898;3953.282715;3989.853516
226800;2675.029053;2889.226807;1263.873047;20133.92383;21480.39648;3031.905273;2548.559082;3671.028076
230400;4171.884766;3531.955322;2020.31897;22460.33398;23039.39648;3856.969238;2797.416748;4076.352051
234000;2315.022705;2060.065674;989.0610352;18136.11914;20137.74609;2366.131348;2590.138672;2081.378906
237600;3170.96167;3384.386475;1639.30249;20568.19141;21374.98633;3243.376221;2303.981689;2557.056641
241200;3498.714355;5708.799805;1100.179565;23008.98047;23575.24414;3467.27417;1600.307373;3760.554688
244800;4395.649414;7188.644531;4616.824219;22736.36523;25608.47656;4242.791992;4804.032227;2979.961914
248400;2104.905273;2553.457764;2337.759277;21413.66992;20134.34375;2441.6521;2263.724854;2138.225586
252000;4385.382324;3460.42627;4830.343262;23120.76172;21987.35547;3470.95874;2620.910645;1785.740601
255600;1922.882202;2844.350342;3371.081055;20102.27734;20449.12109;2422.545166;1702.139282;1610.170532
259200;1681.323975;1322.601807;2186.908691;20174.16406;19545.39648;1999.437012;1679.694336;1420.706787
262800;3135.834717;2618.179688;3408.455566;22263.4375;21055.9668;3167.425781;2954.585449;924.6450806
266400;2741.862549;2972.425049;3126.693848;22399.75781;21500.42383;1123.70459;2411.194336;1903.039795
270000;1095.956665;725.4891357;804.727356;19092.06445;15329.70996;2096.619629;2671.891602;2546.814941
273600;259.4916077;1667.417603;1044.476563;17795.89648;18421.61133;829.4598389;4305.296875;1247.71582
277200;1096.776367;1929.108398;2023.060181;7540.35791;14198.53418;1917.175415;4003.94458;3189.989502
280800;2092.050781;2126.791504;2198.565186;19920.03125;20225.30078;2845.11792;4157.605957;3027.678223
284400;3720.048096;3556.274658;3565.203125;22126.3125;21736.99219;3339.621094;4299.918457;4032.933594
288000;5120.557617;3452.689209;2799.067139;24907.55078;23453.89258;4741.305176;5139.047852;4531.284668
291600;3865.071533;3556.732178;3202.705078;23542.70313;23133.28516;3762.668213;4403.809082;5897.507813
295200;10434.92969;11424.78418;6634.710449;31510.11719;33642.96094;6349.790039;5626.138672;8422.163086
298800;9044.792969;7701.11084;5747.430664;30841.4375;30092.83398;5292.042969;2628.322021;7855.874512
302400;7469.777344;10666.14648;10391.49414;30438.29688;33462.41797;9052.984375;5973.830566;5181.893555
306000;5449.234375;4581.617676;6790.956543;28470.31641;27717.53125;6962.213867;4347.716309;4622.640625
309600;5058.334961;5951.208008;4675.814453;28392.13672;29294.7168;5553.486816;5276.183594;5753.324707
313200;3167.595703;2364.223877;2255.718994;24279.67578;25459.82227;3288.489258;2601.300049;4404.191895
