#1;0;0;0;0;0;0;0;0
"#DHW profiles as used in the project IntegraNet (GWI/UMSICHT) based on different sources. For details see:  Gemeinsamer Abschlussbericht des Forschungsvorhabens IntegraNet: ""Integrierte Betrachtung von Strom-, Gas- und Wärmesystemen zur modellbasierten Optimierung des Energieausgleichs- und Transportbedarfs innerhalb der deutschen Energienetze"", Benthin et al. (2020)";;;;;;;;
#Kind_ID;6WE_27;6WE_24;6WE_19;6WE_1;6WE_29;6WE_15;6WE_11;6WE_10
double default(105121,9);;;;;;;;
42600;0;0;0;5586.8;0;0;0;0
42900;11173.6;0;0;5586.8;0;0;0;0
43200;0;0;8380.2;0;0;0;0;104.75
43500;0;0;2793.4;0;0;0;0;0
43800;0;0;0;0;0;0;0;6704
44100;2095;0;0;0;0;0;0;10056
44400;0;0;0;0;0;0;0;2095
44700;2095;2095;0;13408;0;0;0;2095
45000;0;0;0;12151;0;0;0;0
45300;0;0;0;10056;0;0;0;0
45600;0;0;0;0;0;0;0;0
45900;0;0;0;0;10056;0;0;0
46200;0;0;0;0;8799;0;0;0
46500;0;0;0;0;0;0;0;0
46800;0;0;0;0;0;5586.8;0;5586.8
47100;0;0;0;0;0;5586.8;0;5586.8
47400;0;0;0;0;0;11173.6;0;104.75
47700;0;0;0;2095;0;0;0;0
48000;0;0;0;0;0;0;0;2095
48300;11173.6;0;0;0;0;0;0;0
48600;0;0;0;0;0;0;0;558.68
48900;0;0;0;0;0;11173.6;0;0
49200;0;0;0;0;0;0;0;0
49500;0;0;0;0;0;0;0;0
49800;0;3352;0;0;0;0;3352;0
50100;0;15503;0;0;0;0;15503;384.09
50400;0;0;0;0;0;0;0;698.35
50700;0;0;11173.6;0;0;0;0;139.67
51000;0;0;0;0;0;0;0;558.68
51300;0;0;8799;8799;0;0;0;0
51600;0;0;10056;10056;0;0;0;419.01
51900;0;0;0;0;0;0;0;803.1
52200;0;2095;0;0;0;0;0;0
52500;0;3352;0;0;0;13408;0;0
52800;0;13408;0;0;0;5447;0;0
53100;0;0;0;0;0;0;0;0
53400;0;0;0;0;0;8380.2;0;0
53700;0;0;0;0;0;2793.4;0;0
54000;0;2095;0;0;0;0;0;0
54300;0;0;0;0;0;0;0;0
54600;0;0;0;0;0;0;0;0
54900;0;0;0;0;0;0;0;0
55200;0;0;0;0;0;0;0;0
55500;0;8380.2;0;0;0;0;0;0
55800;0;2793.4;0;0;0;0;0;0
56100;0;0;0;0;0;0;0;0
56400;0;0;0;0;0;0;0;0
56700;0;0;0;0;0;0;0;0
57000;0;0;0;0;0;0;0;0
57300;0;0;0;0;0;0;0;0
57600;0;0;0;0;0;0;0;0
57900;0;0;0;0;0;0;0;0
58200;0;0;0;0;0;0;0;0
58500;0;0;0;0;0;0;0;2095
58800;0;0;0;0;0;0;0;10056
59100;0;0;0;0;0;0;0;6704
59400;0;0;0;0;0;0;0;0
59700;0;0;0;0;0;0;0;0
60000;0;0;0;0;0;0;2095;0
60300;0;2793.4;0;0;0;0;0;104.75
60600;0;8380.2;0;0;0;0;2095;11173.6
60900;0;0;0;2095;0;0;0;104.75
61200;0;0;0;0;0;0;0;0
61500;0;0;0;0;0;4190;0;13408
61800;0;0;0;0;0;20950;0;3352
62100;0;0;0;10056;0;20950;20950;3156.48
62400;0;0;0;6704;0;16760;20950;335.2
62700;0;0;0;0;0;0;27654;0
63000;0;0;0;0;0;0;10056;0
63300;0;0;0;0;0;2095;0;0
63600;0;0;0;0;0;0;0;0
63900;0;5586.8;0;0;0;0;0;0
64200;0;5586.8;0;0;0;0;0;0
64500;2095;0;2095;0;0;2095;11173.6;419.01
64800;0;0;0;2095;0;0;0;2793.35
65100;0;0;0;2095;0;13408;2095;0
65400;0;0;0;2095;0;3352;0;0
65700;5447;0;5447;2095;0;3352;0;0
66000;13408;0;13408;0;0;20112;0;0
66300;3352;0;0;0;0;16341;0;0
66600;13408;0;0;0;0;16760;0;0
66900;0;0;0;0;0;10056;0;0
67200;2095;0;2095;0;0;2095;0;2095
67500;0;0;0;0;0;0;0;0
67800;0;0;0;0;0;2095;0;3352
68100;0;0;0;0;0;0;0;13408
68400;0;0;0;0;0;0;0;2095
68700;0;0;0;0;0;0;0;0
69000;0;0;0;0;8380.2;6704;0;0
69300;0;0;0;0;2793.4;10056;0;0
69600;0;0;0;0;0;0;0;0
69900;0;0;0;0;0;0;0;104.75
70200;10056;0;0;0;8380.2;2095;0;0
70500;6704;0;0;0;2793.4;2095;0;0
70800;0;0;0;0;0;0;0;0
71100;0;0;0;0;0;0;0;0
71400;2095;0;0;0;0;11173.6;0;0
71700;0;0;0;0;0;0;0;139.67
72000;0;8380.2;0;0;0;0;0;419.01
72300;0;2793.4;0;0;0;0;0;0
72600;0;0;0;0;0;0;0;0
72900;0;0;0;2095;0;0;0;104.75
73200;0;0;0;0;0;0;0;0
73500;0;0;0;0;0;0;0;0
73800;0;0;0;0;0;0;0;0
74100;0;0;0;0;0;0;0;2095
74400;0;0;0;2793.4;0;0;0;453.92
74700;0;0;0;8380.2;0;0;0;419.01
75000;0;0;0;0;0;0;0;0
75300;0;0;0;0;0;0;0;0
75600;0;0;0;0;0;0;0;0
75900;0;0;0;0;0;0;0;0
76200;0;0;0;0;0;2095;0;0
76500;0;0;0;15503;0;0;0;0
76800;0;0;0;8938.8;0;0;0;0
77100;0;0;0;5586.8;2095;0;0;0
77400;0;0;0;4190;0;0;0;0
77700;0;0;0;0;0;0;0;0
78000;0;2095;0;0;0;0;0;384.09
78300;5447;0;5447;0;0;5447;0;782.14
78600;13408;0;13408;0;0;13408;0;439.95
78900;0;0;0;0;0;0;0;0
79200;0;0;0;0;0;0;0;0
79500;0;0;0;0;0;0;0;209.5
79800;0;0;0;0;0;0;0;0
80100;2095;0;2095;0;0;2095;0;0
80400;0;0;0;0;0;0;0;2199.75
80700;0;2095;0;0;0;0;0;104.75
81000;0;0;2095;0;0;0;0;0
81300;12151;0;6704;0;0;0;0;502.8
81600;8799;0;10056;0;0;0;0;439.95
