#1
double	default(366,2) #Please don't delete - RP
2.41056e+07	11.00204
2.4192e+07	10.57226
2.42784e+07	10.2447
2.43648e+07	9.608505
2.44512e+07	9.611115
2.45376e+07	9.353758
2.4624e+07	8.81813
2.47104e+07	9.490624
2.47968e+07	8.885803
2.48832e+07	8.571245
2.49696e+07	8.689424
2.5056e+07	9.63069
2.51424e+07	11.9819
2.52288e+07	13.02965
2.53152e+07	13.72627
2.54016e+07	14.00371
2.5488e+07	13.52728
2.55744e+07	12.84532
2.56608e+07	12.18044
2.57472e+07	10.8617
2.58336e+07	7.044491
2.592e+07	5.326747
2.60064e+07	4.498015
2.60928e+07	4.183999
2.61792e+07	5.134409
2.62656e+07	5.11523
2.6352e+07	5.304878
2.64384e+07	6.009395
2.65248e+07	6.077117
2.66112e+07	6.351323
2.66976e+07	6.522598
2.6784e+07	6.321955
2.68704e+07	8.0509
2.69568e+07	8.358476
2.70432e+07	8.52956
2.71296e+07	8.177573
2.7216e+07	9.374477
2.73024e+07	9.37104
2.73888e+07	8.261695
2.74752e+07	6.717972
2.75616e+07	4.818032
2.7648e+07	2.779718
2.77344e+07	2.220984
2.78208e+07	3.99521
2.79072e+07	4.003693
2.79936e+07	5.052848
2.808e+07	4.896124
2.81664e+07	6.332657
2.82528e+07	5.39366
2.83392e+07	4.623015
2.84256e+07	6.557399
2.8512e+07	6.67574
2.85984e+07	6.751521
2.86848e+07	5.648802
2.87712e+07	4.740604
2.88576e+07	3.23107
2.8944e+07	3.393595
2.90304e+07	2.380325
2.91168e+07	1.355905
2.92032e+07	2.66875
2.92896e+07	-0.0517125
2.9376e+07	-1.137472
2.94624e+07	-2.403453
2.95488e+07	-3.720989
2.96352e+07	-1.095785
2.97216e+07	-0.6614317
2.9808e+07	-1.775895
2.98944e+07	-2.897675
2.99808e+07	-2.310595
3.00672e+07	-2.465982
3.01536e+07	0.6375065
3.024e+07	2.018176
3.03264e+07	2.668106
3.04128e+07	2.841655
3.04992e+07	2.765916
3.05856e+07	2.301835
3.0672e+07	0.7474373
3.07584e+07	-0.6292846
3.08448e+07	0.3273733
3.09312e+07	3.679389
3.10176e+07	4.992323
3.1104e+07	5.584307
3.11904e+07	5.6472
3.12768e+07	2.451214
3.13632e+07	5.894524
3.14496e+07	6.048778
3.1536e+07	7.224279
