#1	
double default(8761,2)	
#	
#Time	Irradiation
#	
#Radiation on tilted surface, Tilt=35, Azimuth=0	
#	
1771200	88.63844
1774800	79.85064
1778400	63.995758
1782000	20.62298
1785600	0.8855729
1789200	0
1792800	0
1796400	0
1800000	0
1803600	0
1807200	0
1810800	0
1814400	0
1818000	0
1821600	0
1825200	0
1828800	0
1832400	0
1836000	0
1839600	0
1843200	0
1846800	33.992943
1850400	133.1878
1854000	302.04468
1857600	273.5745
1861200	225.57066
1864800	243.79279
1868400	21.828745
1872000	2.9305568
1875600	0
1879200	0
1882800	0
1886400	0
1890000	0
1893600	0
1897200	0
1900800	0
1904400	0
1908000	0
1911600	0
1915200	0
1918800	0
1922400	0
1926000	0
1929600	0.8855729
1933200	21.86415
1936800	32.856102
1940400	48.591873
1944000	53.08642
1947600	39.106075
1951200	26.735342
1954800	16.041845
1958400	2.9342096
1962000	0
1965600	0
1969200	0
1972800	0
1976400	0
1980000	0
1983600	0
1987200	0
1990800	0
1994400	0
1998000	0
2001600	0
2005200	0
2008800	0
2012400	0
2016000	5.801757
2019600	100.4167
2023200	178.42892
2026800	196.01483
2030400	283.3379
2034000	222.77675
2037600	122.37722
2041200	64.46153
2044800	2.937904
2048400	0
2052000	0
2055600	0
2059200	0
2062800	0
2066400	0
2070000	0
2073600	0
2077200	0
2080800	0
2084400	0
2088000	0
2091600	0
2095200	0
2098800	0
2102400	0.8855729
2106000	46.21934
2109600	148.7859
2113200	121.64734
2116800	76.593376
2120400	52.90322
2124000	32.023125
2127600	27.820658
2131200	7.0573945
2134800	0
2138400	0
2142000	0
2145600	0
2149200	0
2152800	0
2156400	0
2160000	0
2163600	0
2167200	0
2170800	0
2174400	0
2178000	0
2181600	0
2185200	0
2188800	4.8214803
2192400	145.43172
2196000	386.16095
2199600	569.4528
2203200	665.95306
2206800	670.0128
2210400	577.72504
2214000	356.54916
2217600	11.192555
2221200	0
2224800	0
2228400	0
2232000	0
2235600	0
2239200	0
2242800	0
2246400	0
2250000	0
2253600	0
2257200	0
2260800	0
2264400	0
2268000	0
2271600	0
2275200	2.8539042
2278800	75.71071
2282400	230.93678
2286000	417.24988
2289600	483.2217
2293200	222.74567
2296800	127.36625
2300400	308.21857
2304000	6.047386
2307600	0
2311200	0
2314800	0
2318400	0
2322000	0
2325600	0
2329200	0
2332800	0
2336400	0
2340000	0
2343600	0
2347200	0
2350800	0
2354400	0
2358000	0
2361600	6.7958155
2365200	111.26424
2368800	246.33032
2372400	221.08649
2376000	130.66234
2379600	121.8532
2383200	142.54355
2386800	158.71829
2390400	14.335417
2394000	0
2397600	0
2401200	0
2404800	0
2408400	0
2412000	0
2415600	0
2419200	0
2422800	0
2426400	0
2430000	0
2433600	0
2437200	0
2440800	0
2444400	0
2448000	8.770641
2451600	73.10758
2455200	150.54562
2458800	265.86722
2462400	538.2482
2466000	536.4008
2469600	443.17856
2473200	274.18973
2476800	14.360661
2480400	0
2484000	0
2487600	0
2491200	0
2494800	0
2498400	0
2502000	0
2505600	0
2509200	0
2512800	0
2516400	0
2520000	0
2523600	0
2527200	0
2530800	0
2534400	5.8159966
2538000	50.837124
2541600	88.696465
2545200	88.85378
2548800	97.70631
2552400	182.6948
2556000	263.68137
2559600	284.62338
2563200	16.46351
2566800	0
2570400	0
2574000	0
2577600	0
2581200	0
2584800	0
2588400	0
2592000	0
2595600	0
2599200	0
2602800	0
2606400	0
2610000	0
2613600	0
2617200	0
2620800	0.8855729
2624400	18.658709
2628000	88.869484
2631600	171.21312
2635200	57.641556
2638800	85.06298
2642400	239.05803
2646000	182.10898
2649600	17.797377
2653200	0
2656800	0
2660400	0
2664000	0
2667600	0
2671200	0
2674800	0
2678400	0
2682000	0
2685600	0
2689200	0
2692800	0
2696400	0
2700000	0
2703600	0
2707200	13.723323
2710800	196.26384
2714400	434.282
2718000	592.57117
2721600	677.64124
2725200	695.257
2728800	509.39514
2732400	295.75565
2736000	25.138748
2739600	0
2743200	0
2746800	0
2750400	0
2754000	0
2757600	0
2761200	0
2764800	0
2768400	0
2772000	0
2775600	0
2779200	0
2782800	0
2786400	0
2790000	0
2793600	8.790452
2797200	68.12018
2800800	59.167282
2804400	70.35848
2808000	89.64264
2811600	75.58716
2815200	86.470795
2818800	58.081173
2822400	16.55222
2826000	0
2829600	0
2833200	0
2836800	0
2840400	0
2844000	0
2847600	0
2851200	0
2854800	0
2858400	0
2862000	0
2865600	0
2869200	0
2872800	0
2876400	0
2880000	12.752271
2883600	149.2112
2887200	317.93582
2890800	515.14526
2894400	614.1142
2898000	323.05347
2901600	126.88385
2905200	60.590675
2908800	1.9304053
2912400	0
2916000	0
2919600	0
2923200	0
2926800	0
2930400	0
2934000	0
2937600	0
2941200	0
2944800	0
2948400	0
2952000	0
2955600	0
2959200	0
2962800	0
2966400	20.846357
2970000	65.98
2973600	90.337105
2977200	78.49544
2980800	84.23134
2984400	186.50345
2988000	155.06084
2991600	47.551693
2995200	7.1742573
2998800	0
3002400	0
3006000	0
3009600	0
3013200	0
3016800	0
3020400	0
3024000	0
3027600	0
3031200	0
3034800	0
3038400	0
3042000	0
3045600	0
3049200	0
3052800	8.808338
3056400	55.59384
3060000	69.27804
3063600	148.8288
3067200	142.69145
3070800	497.25903
3074400	494.6501
3078000	419.5611
3081600	28.745247
3085200	0
3088800	0
3092400	0
3096000	0
3099600	0
3103200	0
3106800	0
3110400	0
3114000	0
3117600	0
3121200	0
3124800	0
3128400	0
3132000	0
3135600	0
3139200	12.78042
3142800	139.82214
3146400	347.73325
3150000	492.2403
3153600	614.9489
3157200	667.739
3160800	538.5334
3164400	392.62656
3168000	31.646486
3171600	0
3175200	0
3178800	0
3182400	0
3186000	0
3189600	0
3193200	0
3196800	0
3200400	0
3204000	0
3207600	0
3211200	0
3214800	0
3218400	0
3222000	0
3225600	31.195538
3229200	208.84103
3232800	401.52612
3236400	548.65625
3240000	657.3853
3243600	680.40326
3247200	560.46204
3250800	379.78683
3254400	35.637295
3258000	0
3261600	0
3265200	0
3268800	0
3272400	0
3276000	0
3279600	0
3283200	0
3286800	0
3290400	0
3294000	0
3297600	0
3301200	0
3304800	0
3308400	0
3312000	36.981922
3315600	223.5572
3319200	417.30344
3322800	550.5817
3326400	637.8172
3330000	661.38086
3333600	551.0428
3337200	408.31305
3340800	38.214294
3344400	0
3348000	0
3351600	0
3355200	0
3358800	0
3362400	0
3366000	0
3369600	0
3373200	0
3376800	0
3380400	0
3384000	0
3387600	0
3391200	0
3394800	0
3398400	32.036636
3402000	158.63539
3405600	249.60367
3409200	404.9239
3412800	449.67212
3416400	231.13629
3420000	104.768845
3423600	85.3011
3427200	27.34563
3430800	0
3434400	0
3438000	0
3441600	0
3445200	0
3448800	0
3452400	0
3456000	0
3459600	0
3463200	0
3466800	0
3470400	0
3474000	0
3477600	0
3481200	0
3484800	11.828914
3488400	52.531067
3492000	63.34821
3495600	69.40646
3499200	94.3308
3502800	173.72821
3506400	151.62271
3510000	352.47098
3513600	32.58378
3517200	1.8282703
3520800	0
3524400	0
3528000	0
3531600	0
3535200	0
3538800	0
3542400	0
3546000	0
3549600	0
3553200	0
3556800	0
3560400	0
3564000	0
3567600	0
3571200	59.552864
3574800	273.72385
3578400	455.23483
3582000	453.08954
3585600	655.3582
3589200	470.73734
3592800	425.31085
3596400	424.13504
3600000	175.56992
3603600	2.7730713
3607200	0
3610800	0
3614400	0
3618000	0
3621600	0
3625200	0
3628800	0
3632400	0
3636000	0
3639600	0
3643200	0
3646800	0
3650400	0
3654000	0
3657600	3.8750217
3661200	16.637447
3664800	33.420517
3668400	41.231865
3672000	42.759808
3675600	40.003967
3679200	34.316086
3682800	19.116428
3686400	7.268479
3690000	0
3693600	0
3697200	0
3700800	0
3704400	0
3708000	0
3711600	0
3715200	0
3718800	0
3722400	0
3726000	0
3729600	0
3733200	0
3736800	0
3740400	0
3744000	20.845919
3747600	101.11176
3751200	184.99571
3754800	227.87775
3758400	213.55472
3762000	244.07967
3765600	173.14166
3769200	61.783943
3772800	50.7879
3776400	4.668344
3780000	0
3783600	0
3787200	0
3790800	0
3794400	0
3798000	0
3801600	0
3805200	0
3808800	0
3812400	0
3816000	0
3819600	0
3823200	0
3826800	0
3830400	99.152756
3834000	352.86328
3837600	577.15936
3841200	730.26373
3844800	806.98676
3848400	601.7007
3852000	245.54962
3855600	97.83675
3859200	71.69376
3862800	1.8318796
3866400	0
3870000	0
3873600	0
3877200	0
3880800	0
3884400	0
3888000	0
3891600	0
3895200	0
3898800	0
3902400	0
3906000	0
3909600	0
3913200	0
3916800	18.889723
3920400	51.71408
3924000	253.22987
3927600	242.44864
3931200	220.69623
3934800	135.29646
3938400	98.89157
3942000	66.88942
3945600	26.56424
3949200	4.6756573
3952800	0
3956400	0
3960000	0
3963600	0
3967200	0
3970800	0
3974400	0
3978000	0
3981600	0
3985200	0
3988800	0
3992400	0
3996000	0
3999600	0
4003200	21.915163
4006800	161.26358
4010400	121.77213
4014000	97.89411
4017600	88.9393
4021200	82.12871
4024800	82.872116
4028400	52.307472
4032000	21.249046
4035600	0.8855729
4039200	0
4042800	0
4046400	0
4050000	0
4053600	0
4057200	0
4060800	0
4064400	0
4068000	0
4071600	0
4075200	0
4078800	0
4082400	0
4086000	0.8855729
4089600	34.269623
4093200	141.81369
4096800	252.54709
4100400	430.78595
4104000	425.28265
4107600	441.44797
4111200	420.836
4114800	344.41736
4118400	158.14502
4122000	0
4125600	0
4129200	0
4132800	0
4136400	0
4140000	0
4143600	0
4147200	0
4150800	0
4154400	0
4158000	0
4161600	0
4165200	0
4168800	0
4172400	3.6430492
4176000	62.597153
4179600	178.92107
4183200	219.2054
4186800	348.60654
4190400	305.26227
4194000	200.95764
4197600	162.91068
4201200	124.49638
4204800	49.306522
4208400	0
4212000	0
4215600	0
4219200	0
4222800	0
4226400	0
4230000	0
4233600	0
4237200	0
4240800	0
4244400	0
4248000	0
4251600	0
4255200	0
4258800	4.5639806
4262400	30.033726
4266000	55.37472
4269600	95.286224
4273200	106.052475
4276800	118.31484
4280400	99.04759
4284000	87.164085
4287600	45.17251
4291200	23.50701
4294800	0.8855729
4298400	0
4302000	0
4305600	0
4309200	0
4312800	0
4316400	0
4320000	0
4323600	0
4327200	0
4330800	0
4334400	0
4338000	0
4341600	0
4345200	0.8855729
4348800	20.006184
4352400	56.5799
4356000	100.390366
4359600	178.8881
4363200	130.88573
4366800	68.20684
4370400	69.69596
4374000	44.006508
4377600	34.335457
4381200	1.8373095
4384800	0
4388400	0
4392000	0
4395600	0
4399200	0
4402800	0
4406400	0
4410000	0
4413600	0
4417200	0
4420800	0
4424400	0
4428000	0
4431600	0.8855729
4435200	13.984391
4438800	90.794624
4442400	156.6208
4446000	126.298935
4449600	214.60765
4453200	174.84138
4456800	110.265945
4460400	81.089676
4464000	41.955074
4467600	0.8855729
4471200	0
4474800	0
4478400	0
4482000	0
4485600	0
4489200	0
4492800	0
4496400	0
4500000	0
4503600	0
4507200	0
4510800	0
4514400	0
4518000	2.7275388
4521600	61.250607
4525200	92.0465
4528800	225.70836
4532400	239.65211
4536000	186.72565
4539600	278.59137
4543200	149.53761
4546800	106.05757
4550400	70.50861
4554000	3.7470324
4557600	0
4561200	0
4564800	0
4568400	0
4572000	0
4575600	0
4579200	0
4582800	0
4586400	0
4590000	0
4593600	0
4597200	0
4600800	0
4604400	7.336571
4608000	67.07298
4611600	168.50551
4615200	262.768
4618800	520.5921
4622400	768.24457
4626000	764.73596
4629600	678.7808
4633200	512.3997
4636800	226.32518
4640400	9.479601
4644000	0
4647600	0
4651200	0
4654800	0
4658400	0
4662000	0
4665600	0
4669200	0
4672800	0
4676400	0
4680000	0
4683600	0
4687200	0
4690800	12.069441
4694400	146.63158
4698000	356.70578
4701600	547.08344
4705200	573.77844
4708800	274.29193
4712400	108.88882
4716000	84.76737
4719600	85.12506
4723200	24.769947
4726800	2.7965508
4730400	0
4734000	0
4737600	0
4741200	0
4744800	0
4748400	0
4752000	0
4755600	0
4759200	0
4762800	0
4766400	0
4770000	0
4773600	0
4777200	1.8081248
4780800	24.188568
4784400	63.788578
4788000	103.20068
4791600	99.2752
4795200	105.54333
4798800	79.41311
4802400	80.746735
4806000	52.975002
4809600	38.94126
4813200	11.409026
4816800	0
4820400	0
4824000	0
4827600	0
4831200	0
4834800	0
4838400	0
4842000	0
4845600	0
4849200	0
4852800	0
4856400	0
4860000	0
4863600	12.028988
4867200	46.54529
4870800	85.62276
4874400	89.342545
4878000	182.79108
4881600	220.00462
4885200	146.68896
4888800	168.26433
4892400	129.7251
4896000	253.27103
4899600	12.376241
4903200	0
4906800	0
4910400	0
4914000	0
4917600	0
4921200	0
4924800	0
4928400	0
4932000	0
4935600	0
4939200	0
4942800	0
4946400	0
4950000	4.581066
4953600	67.53405
4957200	171.00682
4960800	239.69804
4964400	367.4621
4968000	312.48364
4971600	213.65541
4975200	118.737946
4978800	70.49416
4982400	79.97508
4986000	11.428057
4989600	0
4993200	0
4996800	0
5000400	0
5004000	0
5007600	0
5011200	0
5014800	0
5018400	0
5022000	0
5025600	0
5029200	0
5032800	0
5036400	10.268872
5040000	60.642025
5043600	74.343636
5047200	99.52096
5050800	176.36237
5054400	135.96451
5058000	86.32409
5061600	107.925476
5065200	78.030464
5068800	41.282234
5072400	6.640642
5076000	0
5079600	0
5083200	0
5086800	0
5090400	0
5094000	0
5097600	0
5101200	0
5104800	0
5108400	0
5112000	0
5115600	0
5119200	0
5122800	12.131263
5126400	74.38729
5130000	199.11063
5133600	374.83453
5137200	374.51505
5140800	395.76987
5144400	471.2618
5148000	278.64444
5151600	141.68683
5155200	75.136375
5158800	8.566041
5162400	0
5166000	0
5169600	0
5173200	0
5176800	0
5180400	0
5184000	0
5187600	0
5191200	0
5194800	0
5198400	0
5202000	0
5205600	0
5209200	4.5891056
5212800	52.935158
5216400	117.05753
5220000	116.014
5223600	155.51791
5227200	95.40021
5230800	140.78069
5234400	148.61119
5238000	136.14781
5241600	169.71954
5245200	15.299845
5248800	0
5252400	0
5256000	0
5259600	0
5263200	0
5266800	0
5270400	0
5274000	0
5277600	0
5281200	0
5284800	0
5288400	0
5292000	0
5295600	13.858909
5299200	137.45773
5302800	282.83252
5306400	177.74297
5310000	361.46463
5313600	455.09406
5317200	170.03072
5320800	120.14622
5324400	132.60179
5328000	78.541725
5331600	8.579157
5335200	0
5338800	0
5342400	0
5346000	0
5349600	0
5353200	0
5356800	0
5360400	0
5364000	0
5367600	0
5371200	0
5374800	0
5378400	0
5382000	27.1508
5385600	129.71622
5389200	126.343124
5392800	247.40591
5396400	279.3687
5400000	393.0148
5403600	282.90314
5407200	214.75165
5410800	299.1741
5414400	319.6122
5418000	1.8475193
5421600	0
5425200	0
5428800	0
5432400	0
5436000	0
5439600	0
5443200	0
5446800	0
5450400	0
5454000	0
5457600	0
5461200	0
5464800	0
5468400	17.593176
5472000	159.57536
5475600	418.749
5479200	432.64606
5482800	444.32916
5486400	524.11725
5490000	528.2723
5493600	613.8656
5497200	178.30048
5500800	37.131638
5504400	17.26276
5508000	0
5511600	0
5515200	0
5518800	0
5522400	0
5526000	0
5529600	0
5533200	0
5536800	0
5540400	0
5544000	0
5547600	0
5551200	0
5554800	31.55395
5558400	192.25044
5562000	404.4398
5565600	610.9241
5569200	767.9322
5572800	736.1314
5576400	515.99207
5580000	344.11615
5583600	193.65286
5587200	138.94508
5590800	23.968426
5594400	0
5598000	0
5601600	0
5605200	0
5608800	0
5612400	0
5616000	0
5619600	0
5623200	0
5626800	0
5630400	0
5634000	0
5637600	0
5641200	8.323958
5644800	33.788628
5648400	62.168327
5652000	113.48143
5655600	122.68527
5659200	181.81989
5662800	256.03577
5666400	371.64047
5670000	228.01299
5673600	121.289215
5677200	20.367178
5680800	0
5684400	0
5688000	0
5691600	0
5695200	0
5698800	0
5702400	0
5706000	0
5709600	0
5713200	0
5716800	0
5720400	0
5724000	0
5727600	14.845748
5731200	45.16687
5734800	73.79899
5738400	89.422806
5742000	102.48516
5745600	93.2729
5749200	114.90182
5752800	106.44702
5756400	54.68342
5760000	60.38174
5763600	23.281094
5767200	0
5770800	0
5774400	0
5778000	0
5781600	0
5785200	0
5788800	0
5792400	0
5796000	0
5799600	0
5803200	0
5806800	0
5810400	0
5814000	41.73434
5817600	214.7384
5821200	351.17444
5824800	497.54495
5828400	709.79694
5832000	784.0022
5835600	721.15704
5839200	480.67603
5842800	240.85611
5846400	107.52851
5850000	22.520664
5853600	0
5857200	0
5860800	0
5864400	0
5868000	0
5871600	0
5875200	0
5878800	0
5882400	0
5886000	0
5889600	0
5893200	0
5896800	0
5900400	13.007486
5904000	82.87199
5907600	159.75143
5911200	152.56909
5914800	152.88336
5918400	136.93338
5922000	118.74281
5925600	133.36324
5929200	165.96086
5932800	79.26884
5936400	9.588582
5940000	0
5943600	0
5947200	0
5950800	0
5954400	0
5958000	0
5961600	0
5965200	0
5968800	0
5972400	0
5976000	0
5979600	0
5983200	0
5986800	44.923916
5990400	237.62935
5994000	451.25034
5997600	504.40002
6001200	416.38184
6004800	234.44441
6008400	412.72592
6012000	391.34412
6015600	410.55157
6019200	322.34732
6022800	81.124146
6026400	0
6030000	0
6033600	0
6037200	0
6040800	0
6044400	0
6048000	0
6051600	0
6055200	0
6058800	0
6062400	0
6066000	0
6069600	0.8855729
6073200	24.244474
6076800	94.13921
6080400	123.96412
6084000	85.488235
6087600	177.6762
6091200	132.30258
6094800	159.83636
6098400	103.46628
6102000	78.540665
6105600	112.39471
6109200	22.191555
6112800	0
6116400	0
6120000	0
6123600	0
6127200	0
6130800	0
6134400	0
6138000	0
6141600	0
6145200	0
6148800	0
6152400	0
6156000	0
6159600	33.55219
6163200	171.64493
6166800	333.16446
6170400	361.60516
6174000	231.36171
6177600	130.6635
6181200	107.12483
6184800	272.59744
6188400	321.6033
6192000	205.8836
6195600	74.37998
6199200	0
6202800	0
6206400	0
6210000	0
6213600	0
6217200	0
6220800	0
6224400	0
6228000	0
6231600	0
6235200	0
6238800	0
6242400	2.711306
6246000	34.43274
6249600	111.15304
6253200	255.55179
6256800	248.10846
6260400	348.1389
6264000	299.06793
6267600	98.6664
6271200	212.07901
6274800	218.48114
6278400	108.98854
6282000	51.21607
6285600	0
6289200	0
6292800	0
6296400	0
6300000	0
6303600	0
6307200	0
6310800	0
6314400	0
6318000	0
6321600	0
6325200	0
6328800	1.7980318
6332400	12.133425
6336000	72.68723
6339600	230.91805
6343200	249.96341
6346800	203.18384
6350400	98.80364
6354000	98.478584
6357600	155.66383
6361200	201.43071
6364800	199.98407
6368400	126.49503
6372000	0
6375600	0
6379200	0
6382800	0
6386400	0
6390000	0
6393600	0
6397200	0
6400800	0
6404400	0
6408000	0
6411600	0
6415200	0.8855729
6418800	32.79112
6422400	119.20498
6426000	217.2165
6429600	207.92181
6433200	275.6553
6436800	381.7935
6440400	404.95163
6444000	304.03384
6447600	265.33334
6451200	150.11388
6454800	39.623154
6458400	0
6462000	0
6465600	0
6469200	0
6472800	0
6476400	0
6480000	0
6483600	0
6487200	0
6490800	0
6494400	0
6498000	0
6501600	1.7973008
6505200	42.02531
6508800	138.21925
6512400	286.12106
6516000	490.09445
6519600	626.8429
6523200	569.5152
6526800	623.5811
6530400	506.0675
6534000	404.1669
6537600	200.43968
6541200	40.37207
6544800	0
6548400	0
6552000	0
6555600	0
6559200	0
6562800	0
6566400	0
6570000	0
6573600	0
6577200	0
6580800	0
6584400	0
6588000	9.088307
6591600	88.56603
6595200	321.002
6598800	461.35797
6602400	436.38666
6606000	638.692
6609600	586.9202
6613200	684.9882
6616800	638.3643
6620400	490.34943
6624000	131.16864
6627600	20.327742
6631200	0
6634800	0
6638400	0
6642000	0
6645600	0
6649200	0
6652800	0
6656400	0
6660000	0
6663600	0
6667200	0
6670800	0
6674400	9.996772
6678000	95.91196
6681600	331.51855
6685200	580.2261
6688800	717.7978
6692400	530.2924
6696000	513.7882
6699600	497.9292
6703200	516.18353
6706800	549.5924
6710400	422.52417
6714000	129.30547
6717600	0
6721200	0
6724800	0
6728400	0
6732000	0
6735600	0
6739200	0
6742800	0
6746400	0
6750000	0
6753600	0
6757200	0
6760800	10.904725
6764400	101.06889
6768000	339.82895
6771600	593.885
6775200	760.39996
6778800	731.41187
6782400	509.08304
6786000	378.28482
6789600	396.6415
6793200	184.7451
6796800	105.27465
6800400	37.899307
6804000	0.8855729
6807600	0
6811200	0
6814800	0
6818400	0
6822000	0
6825600	0
6829200	0
6832800	0
6836400	0
6840000	0
6843600	0
6847200	1.7960718
6850800	26.370232
6854400	123.92069
6858000	241.66507
6861600	306.2626
6865200	393.29834
6868800	397.7276
6872400	362.72852
6876000	248.9055
6879600	175.99783
6883200	126.10348
6886800	34.96575
6890400	0
6894000	0
6897600	0
6901200	0
6904800	0
6908400	0
6912000	0
6915600	0
6919200	0
6922800	0
6926400	0
6930000	0
6933600	13.630662
6937200	97.38294
6940800	255.96309
6944400	286.82913
6948000	155.92003
6951600	201.32182
6955200	131.71378
6958800	161.8806
6962400	339.1931
6966000	434.08694
6969600	334.868
6973200	143.27023
6976800	7.2543426
6980400	0
6984000	0
6987600	0
6991200	0
6994800	0
6998400	0
7002000	0
7005600	0
7009200	0
7012800	0
7016400	0
7020000	1.7955884
7023600	18.862684
7027200	35.598434
7030800	88.33512
7034400	222.29861
7038000	259.855
7041600	326.01617
7045200	432.35156
