#1	
#SLP with Hamburg TMY, scaled to 35 MWh yearly demand
double default(8761,2)	
1094400	8256.667125
1098000	8331.219435
1101600	8685.342855
1105200	8983.552025
1108800	9169.9328
1112400	9151.294705
1116000	8946.27587
1119600	8182.114815
1123200	7063.83034
1126800	5181.384775
1130400	4132.846375
1134000	4396.645085
1137600	4466.99141
1141200	4818.723
1144800	5961.85072
1148400	8898.80964
1152000	8863.63646
1155600	8617.42434
1159200	8529.491425
1162800	8353.62563
1166400	8125.0001
1170000	7843.6148
1173600	7773.268475
1177200	7755.68192
1180800	7790.855065
1184400	7861.20139
1188000	8195.346425
1191600	8476.73169
1195200	8652.597485
1198800	8635.01093
1202400	8441.558545
1206000	7720.50874
1209600	6665.313935
1213200	4889.069325
1216800	4698.797145
1220400	4998.72037
1224000	5078.699885
1227600	5478.59753
1231200	6778.264815
1234800	10117.41003
1238400	10077.42029
1242000	9797.491935
1245600	9697.517515
1249200	9497.56871
1252800	9237.63526
1256400	8917.717165
1260000	8837.737615
1263600	8817.742745
1267200	8857.73252
1270800	8937.712035
1274400	9317.614775
1278000	9637.53287
1281600	9837.48171
1285200	9817.486805
1288800	9597.54313
1292400	8777.75297
1296000	7578.060105
1299600	5558.577045
1303200	4270.758415
1306800	4543.36001
1310400	4616.053785
1314000	4979.52259
1317600	6160.79618
1321200	9195.760665
1324800	9159.413795
1328400	8904.985635
1332000	8814.118425
1335600	8632.38404
1339200	8396.129315
1342800	8105.35425
1346400	8032.66051
1350000	8014.487075
1353600	8050.833945
1357200	8123.527685
1360800	8468.823055
1364400	8759.59812
1368000	8941.332505
1371600	8923.15907
1375200	8723.251215
1378800	7978.14017
1382400	6887.73379
1386000	5052.21633
1389600	4156.251015
1393200	4421.54363
1396800	4492.288325
1400400	4846.011835
1404000	5995.613155
1407600	8949.20432
1411200	8913.831955
1414800	8666.225505
1418400	8577.794645
1422000	8400.93289
1425600	8171.01264
1429200	7888.033825
1432800	7817.28913
1436400	7799.602965
1440000	7834.97533
1443600	7905.720025
1447200	8241.757335
1450800	8524.736115
1454400	8701.59787
1458000	8683.911705
1461600	8489.363785
1465200	7764.230635
1468800	6703.06014
1472400	4916.75653
1476000	3947.258805
1479600	4199.21152
1483200	4266.398885
1486800	4602.335815
1490400	5694.130785
1494000	8499.20407
1497600	8465.610405
1501200	8230.45454
1504800	8146.470325
1508400	7978.50186
1512000	7760.142845
1515600	7491.393315
1519200	7424.20595
1522800	7407.4091
1526400	7441.0028
1530000	7508.190165
1533600	7827.330245
1537200	8096.079775
1540800	8264.04824
1544400	8247.25139
1548000	8062.486075
1551600	7373.8154
1555200	6366.004645
1558800	4669.52318
1562400	4203.46843
1566000	4471.77493
1569600	4543.32333
1573200	4901.06533
1576800	6063.72683
1580400	9050.872495
1584000	9015.098295
1587600	8764.678895
1591200	8675.243395
1594800	8496.372395
1598400	8263.840095
1602000	7977.646495
1605600	7906.098095
1609200	7888.210995
1612800	7923.985195
1616400	7995.533595
1620000	8335.388495
1623600	8621.582095
1627200	8800.453095
1630800	8782.565995
1634400	8585.807895
1638000	7852.436795
1641600	6779.210795
1645200	4972.61373
1648800	3379.44481
1652400	3595.15408
1656000	3652.676545
1659600	3940.28887
1663200	4875.0289
1666800	7276.59184
1670400	7247.83059
1674000	7046.50198
1677600	6974.59889
1681200	6830.79271
1684800	6643.844725
