#1
#SLP with Hamburg TMY, scaled to 10 MWh yearly demand	
double default(8761,2)	
1094400	2555.95709
1098000	2624.72723
1101600	2756.53668
1105200	2871.15359
1108800	2899.80782
1112400	2894.07697
1116000	2779.46006
1119600	2464.26356
1123200	1770.83125
1126800	1409.78799
1130400	1229.16601
1134000	1266.57541
1137600	1298.64062
1141200	1400.18042
1144800	1667.39042
1148400	2399.54583
1152000	3083.60344
1155600	2869.83543
1159200	2725.54203
1162800	2607.96963
1166400	2485.05303
1170000	2394.20163
1173600	2340.75963
1177200	2335.41543
1180800	2383.51323
1184400	2447.64363
1188000	2570.56023
1191600	2677.44423
1195200	2704.16523
1198800	2698.82103
1202400	2591.93703
1206000	2298.00603
1209600	1651.35782
1213200	1314.67322
1216800	1434.19467
1220400	1477.84408
1224000	1515.25785
1227600	1633.7348
1231200	1945.51625
1234800	2799.79743
1238400	3597.95794
1242000	3348.53278
1245600	3180.1708
1249200	3042.98696
1252800	2899.56749
1256400	2793.5618
1260000	2731.20551
1263600	2724.96988
1267200	2781.09054
1270800	2855.91809
1274400	2999.33755
1278000	3124.05014
1281600	3155.22828
1285200	3148.99265
1288800	3024.28007
1292400	2681.32048
1296000	1926.80936
1299600	1533.96474
1303200	1278.66525
1306800	1317.58115
1310400	1350.93763
1314000	1456.5665
1317600	1734.53721
1321200	2496.17695
1324800	3207.78196
1328400	2985.40539
1332000	2835.30121
1335600	2712.9941
1339200	2585.12757
1342800	2490.61753
1346400	2435.02339
1350000	2429.46398
1353600	2479.4987
1357200	2546.21167
1360800	2674.0782
1364400	2785.26648
1368000	2813.06355
1371600	2807.50414
1375200	2696.31586
1378800	2390.54808
1382400	1717.85897
1386000	1367.61588
1389600	1237.54091
1393200	1275.2052
1396800	1307.48888
1400400	1409.72052
1404000	1678.75115
1407600	2415.89509
1411200	3104.61351
1414800	2889.389
1418400	2744.11246
1422000	2625.73898
1425600	2501.98489
1429200	2410.51447
1432800	2356.70835
1436400	2351.32774
1440000	2399.75325
1443600	2464.3206
1447200	2588.07469
1450800	2695.68695
1454400	2722.59001
1458000	2717.2094
1461600	2609.59714
1465200	2313.66345
1468800	1662.60931
1472400	1323.63072
1476000	1163.15762
1479600	1198.55807
1483200	1228.90131
1486800	1324.98825
1490400	1577.8486
1494000	2270.68597
1497600	2918.00847
1501200	2715.72019
1504800	2579.1756
1508400	2467.91704
1512000	2351.60128
1515600	2265.62876
1519200	2215.05669
1522800	2209.99948
1526400	2255.51434
1530000	2316.20083
1533600	2432.51659
1537200	2533.66073
1540800	2558.94677
1544400	2553.88956
1548000	2452.74542
1551600	2174.59903
1555200	1562.67698
1558800	1244.07293
1562400	1254.46906
1566000	1292.64855
1569600	1325.37383
1573200	1429.00389
1576800	1701.71455
1580400	2448.94177
1584000	3147.08108
1587600	2928.91255
1591200	2781.64879
1594800	2661.65609
1598400	2536.20919
1602000	2443.48756
1605600	2388.94543
1609200	2383.49121
1612800	2432.57913
1616400	2498.02969
1620000	2623.4766
1623600	2732.56087
1627200	2759.83193
1630800	2754.37772
1634400	2645.29345
1638000	2345.31172
1641600	1685.35191
1645200	1341.73647
1648800	966.24039
1652400	995.64771
1656000	1020.85398
1659600	1100.67384
1663200	1310.72609
1666800	1886.26928
1670400	2424.00307
1674000	2255.96126
1677600	2142.53304
1681200	2050.11005
1684800	1953.48601
1688400	1882.06824
1692000	1840.05779
1695600	1835.85674
1699200	1873.66615
1702800	1924.07869
1706400	2020.70273
1710000	2104.72363
1713600	2125.72886
1717200	2121.52781
1720800	2037.50691
1724400	1806.44943
1728000	1298.12296
1731600	1033.45711
1735200	1219.71978
1738800	1238.34146
1742400	1275.58481
1746000	1345.4161
1749600	1550.25454
1753200	2001.83018
1756800	2565.13588
1760400	2374.2637
1764000	2313.74326
1767600	2243.91197
1771200	2174.08068
1774800	2076.31688
1778400	2043.72895
1782000	2025.10728
1785600	2085.62772
1789200	2122.87108
1792800	2239.25655
1796400	2276.4999
1800000	2285.81074
1803600	2253.22281
1807200	2169.42527
1810800	1927.34348
1814400	1480.42325
1818000	1266.27397
1821600	1851.24067
1825200	1879.50388
1828800	1936.03032
1832400	2042.01738
1836000	2352.91276
1839600	3038.29575
1843200	3893.25805
1846800	3603.56008
1850400	3511.70463
1854000	3405.71757
1857600	3299.7305
1861200	3151.34862
1864800	3101.88799
1868400	3073.62477
1872000	3165.48023
1875600	3222.00666
1879200	3398.65176
1882800	3455.17819
1886400	3469.3098
1890000	3419.84917
1893600	3292.6647
1897200	2925.24289
1900800	2246.9257
1904400	1921.89871
1908000	2056.75192
1911600	2088.15272
1915200	2150.9543
1918800	2268.70727
1922400	2614.11599
1926000	3375.58522
1929600	4325.4592
1933200	4003.60107
1936800	3901.54849
